defined_class,defined_class_label,attribute,attribute_label,entity,entity_label
ENVO:09200000,quality of an environmental material,PATO:0000146,temperature,ENVO:00010483,environmental material
ENVO:09200001,,PATO:0000146,temperature,ENVO:00002005,air
ENVO:09200004,,PATO:0000973,porosity,ENVO:00001998,soil
ENVO:09200005,,PATO:0001019,mass density,ENVO:00001998,soil
ENVO:09200008,,PATO:0000025,composition,ENVO:00001998,soil
ENVO:09200009,,PATO:0000141,structure,ENVO:00001998,soil
ENVO:09200010,,PATO:0001842,acidity,ENVO:00001998,soil
ENVO:09200011,,PATO:0001025,pressure,ENVO:00002005,air
ENVO:09200012,,PATO:0000146,temperature,ENVO:00001998,soil
ENVO:09200013,,PATO:0001822,wetness,ENVO:00001998,soil
ENVO:09200014,,PATO:0000146,temperature,ENVO:00002006,water
ENVO:09200015,,PATO:0015009,humidity,ENVO:00001998,soil
ENVO:09200016,,PATO:0001757,conductivity,ENVO:00001998,soil
ENVO:09200017,,PATO:0000025,composition,ENVO:00002006,water
ENVO:09200018,,PATO:0001757,conductivity,ENVO:00002006,water
ENVO:09200021,,PATO:0000014,color,ENVO:00001998,soil
ENVO:09200022,,PATO:0001019,mass density,ENVO:01000406,snow
ENVO:09200023,,PATO:0001595,depth,ENVO:01000406,snow
ENVO:09200024,,PATO:0000918,volume,ENVO:06105211,runoff
ENVO:09200025,,PATO:0000918,volume,ENVO:02500034,evaporation
ENVO:09200026,,PATO:0000918,volume,ENVO:02500033,evapotranspiration
ENVO:09200027,,PATO:0000918,volume,ENVO:01001564,rain
ENVO:09200028,,PATO:0000008,speed,ENVO:06105231,soil water infiltration
ENVO:09200029,,PATO:0000915,thickness,ENVO:02000059,topsoil
ENVO:09200030,,PATO:0000008,speed,ENVO:06105241,soil drainage
ENVO:09200031,,PATO:0000080,amplitude,ENVO:01000753,air temperature
ENVO:09200032,,PATO:0001309,duration,ENVO:01001211,stellar radiation
ENVO:09200033,,PATO:0001025,pressure,ENVO:01000268,atmospheric water vapour
ENVO:3100030,,PATO:0001842,acidity,ENVO:00002006,water
ENVO:3100031,,PATO:0001595,depth,ENVO:00002006,water
ENVO:3100032,,PATO:0000018,fluorescence,ENVO:00002006,water
ENVO:3100033,,PATO:0001025,pressure,ENVO:00002006,water